nr;Hotelname;Adress;Zipcode;Place;Numberofrooms;Reviewtitle;Reviewtext;Reviewrating;Yearwrotereview
  491;Hotel Restaurant Jans;Mientwei 1, 8572 WB Rijs Nederland;8572 WB;Rijs; 22;Slapen in een tuinhuis;Sliep hier na een dag wandelen de Frisia Coast Trail. De plaats, de receptie, het restaurant en de bar zijn net gerenoveerd. Ik vond het heel goed gedaan. Ik sliep in een van de kleine tuinhuisjes. Misschien vanwege de renovaties die nog steeds op de slaapkamers plaatsvinden..;4;2019
  171;Hotel Café Restaurant de Posthoorn;Diepswal 21, 9101 LA Dokkum Nederland;9101 LA;Dokkum; 35;Uit de kunst!;Net thuis van een nachtje in dit hotel. Geboekt via een veiling en wow, wat zijn wij (aangenaam) verrast! We kregen kamer 28 ( in de dependance) en die is zo groot als een balzaal! Een prachtige badkamer erbij, met ligbad, douche en stoombad en je kunt spreken van een luxe.;5;2014
11851;Van der Valk Hotel Drachten;Lavendelheide 4, 9202 PD Drachten Nederland;9202 PD;Drachten; 90;Dramatisch;"""Enorm teleurgesteld in deze locatie; heel warme kamer, zeer zacht (doorgelegen?) bed, prijs van de kamer is veel te hoog. Annulering wegens onvoorziene omstandigheden moest gewoon betaald worden (""""dat zijn de regels""""). Eten was zeer matig";"droge kip, veel te gare groente, te.""";mrt
 1204;Stayokay Heeg - Friesland;'t Eilan 65, 8621 CT Heeg Nederland;8621 CT;Heeg; 39;uitstekende prijs/kwaliteit;Deze Stayokay is prachtig gelegen. Het is er schoon en netjes. Het ontbijt is prima en er zit een mooi terras met gezellige bar in het complex. De kamers zijn sober maar functioneel volledig toereikend.;4;2017
10230;WestCord Hotel Schylge;Burg. van Heusdenweg 37, 8881 ED West-Terschelling, Terschelling Nederland;8881 ED;West-Terschelling, Terschelling;NA;Uitstekend weer!;Dit is ons tweede verblijf in de WestCord Hotel Schylge. Alles was perfect weer! Uitstekende bedden. Schone kamers. Goede service, vriendelijk personeel. Prachtig uitzicht. Hield van het binnenzwembad. En dan het ontbijt, in één woord WOW! We zouden dit hotel aanraden aan.;5;2013
 9524;Oranje Hotel Leeuwarden;Stationsweg 4, 8911 AG Leeuwarden Nederland;8911 AG;Leeuwarden; 78;Prima hotel.;Ligging in het centrum, overal lekker dichtbij. Uitstekende kamer, heerlijk ontbijt. Ontvangst netjes, vriendelijk personeel. Dit hotel is een goede uitval basis voor een paar dagen Leeuwarden. Tip: praamvaart door de grachten van Leeuwarden.;5;2017
 1328;Van der Valk Hotel Sneek;Burgemeester Rasterhofflaan 1, 8606 KZ Sneek Nederland;8606 KZ;Sneek;112;Geweldig hotel, meer dan 'value for money';Vriendelijk hotel, aan de rand van de stad. Ruime parkeergelegenheid, mega grote kamers, zeer comfortabel, grote badkamer met alles erop en er aan. Prettig personeel. Een van de beste hotels die ik ooit heb gehad.;5;2015
 7294;Haje Hotel Heerenveen;Schans 65, 8441 AC Heerenveen Nederland;8441 AC;Heerenveen; 55;Prima en vermakelijk;Met onze vrienden een overnachting via vakantieveiling gedaan. Prima hotel voor de  prijs die het kost. Maar wat het top maakt, is de manager van het restaurant. Die snapt het horeca vak! Top avond gehad en genoten van het diner, de drankjes en zijn hoptaill! Sipke, your our.;5;2017
 6148;Fletcher Resort-Hotel Amelander Kaap;Oosterhiemweg 1, 9161 CZ Hollum, Ameland Nederland;9161 CZ;Hollum, Ameland; 40;Goede Bediening en uitstekend eten,  relaxed maar verder eenvoudig;Kerstarrangement met appartement voor 4 volwassenen, ontbijt en diner.  Het appartement (kamer A30)  is prima,  wel nogal eenvoudig en gedateerd -  eenvoudig sanitair en keuken. Twee van de vier bedden zijn absoluut niet geschikt voor personen langer dan 1.75 m. Het grote.;3;2015
12939;Badhotel Bruin;Dorpsstraat 88, 8899 AL, Vlieland Nederland;8899 AL;NA; 34;Gezellig hotel met heerlijk ontbijtbuffet!!!;Verbleven in badhotel Bruin voor 2 nachten. We hadden een super gezellige kamer, die eigenlijk voor vier personen bestemd was. Wat een ruimte. Heerlijke regendouche. 's-Ochtends startte de dag met een fantastisch ontbijtbuffet. Personeel was super vriendelijk en hotel is perfect.;5;2016
10359;Boutique hotel 't Gerecht;33 Gemeenteplein, 8442 MA Heerenveen Nederland;8442 MA;Heerenveen; 15;Bijzondere ervaring;Een geweldig mooie kamer. Sfeer was heel gastvrij en vriendelijk. In een prachtig pand en op een prachtige locatie midden in de stad. We hebben er heerlijk gegeten en het ontbijt was om te smullen. Een aan winst voor Heerenveen.;5;2018
 3490;Post-Plaza Hotel & Grand Café;Tweebaksmarkt 27, 8911 KW Leeuwarden Nederland;8911 KW;Leeuwarden; 82;Verwennerij;Wij hebben dit schitterende hotel geboekt voor de Alma-Tadema schilderijen tentoonstelling in het Fries Museum. Wij  kozen voor het Alma Tadema arrangement. Met live-cooking ontbijt, drie gangen menu. Wij werden hartelijk en met aandacht  ontvangen. Hele fijne lunch genoten, als.;5;2016
11767;Van der Valk Hotel Drachten;Lavendelheide 4, 9202 PD Drachten Nederland;9202 PD;Drachten; 90;Prima hotel met vriendelijk en behulpzame medewerkers;slechts een nacht gebruik gemaakt van deze accommodatie op doorreis.  Het was daar allemaal prima in orde, met de name de vriendelijkheid van de medewerkers. Diner en ontbijt en ook de kamer waren prima in orde.;4;2016
 1138;Fletcher Hotel Paleis Stadhouderlijk Hof;Hofplein 29, 8911 HJ Leeuwarden Nederland;8911 HJ;Leeuwarden;NA;Geweldige stad!;Prachtig gelegen hotel. Parkeren vlakbij. Lieve mensen die je prima helpen. Grote kamer! Echt enorm. Zelfs geld voor de badkamer. Niet modieus of hip, maar praktisch. Ontbijt is een prima basis ontbijt met goede producten. Maar het mooiste is de uitstraling en binnen een minuut.;4;2019
 4122;WestCord Hotel Noordsee;Strandweg 42, 9163 GN, Ameland Nederland;9163 GN;NA;NA;Kleine vakantie naar een waddeneiland.;"Het verblijf in het WestCord Hotel Noordsee in Nes was zeer goed, ondanks een arrangement van 2 nachten. De ontvangst en de sfeer was prettig; het ontbijtbuffet en het (aankomst) diner en verdere hapjes en drankjes waren voortreffelijk. De hotelkamer was ruim en mooi ingericht..";5;2016
 4807;WestCord Hotel De Wadden;Dorpsstraat 61, 8899 AD, Vlieland Nederland;8899 AD;NA; 22;Comfortabele en moderne hotel;Hotel de Wadden is op Dorpsstraat - de hoofdstraat in het kleine eiland Vlieland. Het hotel heeft twee restaurants en een bar voorgevel en is aan de achterkant van het gebouw. Kamers zijn luchtig ingericht, ruim en modern. Badkamers groot en nieuw. Comfortabele bedden. Ontbijt.;4;2013
  182;Hotel Café Restaurant de Posthoorn;Diepswal 21, 9101 LA Dokkum Nederland;9101 LA;Dokkum; 35;Hotel met karakter;Het hotel is mooi in het centrum van Dokkum, voor geschiendenisreizigers is het misschien een zeer aantrekkelijk hotel. Ze hebben ook lekker ontbijt.  Alleen sommige kamers zijn niet in het gebouw van het hotel en je moet lopen buiten het hotel naar een andere gebouw waar je.;4;2017
 1817;Hotel Restaurant Ie-Sicht;Hegewarren 1, 9216 XR Oudega Nederland;9216 XR;Oudega;  9;NET NIET;We hadden dit geboekt via hotelkamerveiling dus niet de hoofdprijs betaald maar toch.  Bij binnenkomst viel ons oog gelijk op een grote bak met vieze kopjes en glazen dat staat daar letterlijk in het midden van de entree.  Inchecken doe je midden in het restaurant als je rond.;2;2017
10741;Golden Tulip Tjaarda Oranjewoud;Koningin Julianaweg 98, 8453 WH Oranjewoud Nederland;8453 WH;Oranjewoud;NA;Dubbel gevoel;"""Hier drie nachten doorgebracht met de kerst, Wij hadden het zogenaamde kerstarrangement. Ligging van het hotel is goed. Ligt in een buitenwijk van Heerenveen midden in het door voormalige """"Oranjes"""" aangelegd landgoed. Kamers zijn ruim en waren schoon. De badkamer was ook goed er.""";2;2018
 1438;Van der Valk Hotel Sneek;Burgemeester Rasterhofflaan 1, 8606 KZ Sneek Nederland;8606 KZ;Sneek;112;Zeer mooi hotel;Familie weekend hier gevierd. We werden goed ontvangen door de receptioniste en we hadden snel de kamer aan de waterkant met heel mooi uitzicht. Zeer complete en comfortabele kamer met heerlijke bedden en goede sanitaire voorzieningen. Alles aanwezig wat je nodig hebt. Er is een.;5;2016
12226;Van der Valk Hotel Drachten;Lavendelheide 4, 9202 PD Drachten Nederland;9202 PD;Drachten; 90;Super verblijf;Waren vroeg gearriveerd en wisten dat we moesten wachten tot 15 uur. Maar surprise, er was al een kamer vrijgekomen en konden we inchecken. De bediening in het restaurant was kundig en snel. Het eten werd vrij snel na bestellen opgediend en was lekker.;4;2019
 5440;Hotel Ameland;Strandweg 48, 9163 GN Nes, Ameland Nederland;9163 GN;Nes, Ameland; 37;Prima hotel alles keurig netjes verzorgd;Prima hotel. Netjes verzorgd. Ontbijt goed. Alles is goed te bereiken zowel op de fiets. Deze kan je ook huren bij het hotel. In het hotel is geen diner mogelijk. Je krijgt wel kortingskaarten voor wat restaurants in de plaats Nes.;4;2017
 2140;Hotel Nap;Torenstraat 55, 8881 BH West-Terschelling, Terschelling Nederland;8881 BH;West-Terschelling, Terschelling; 32;Ligging heel mooi;Hotel is aan de voet van de Brandaris. Vanaf het balkon kon je heel mooi naar de Brandaris kijken. Ik had wel het idee dat je echt voor de ligging betaal. Want de kamer was niet bijzonder. Personeel zijn heel vriendelijk en behulpzaam. Het ontbijt was goed.;3;2017
 2467;B&B De Dream;Zenegroen 80, 8935 KM Leeuwarden Nederland;8935 KM;Leeuwarden;  5;Een plek met echte karakter;"Groot huis in de buitenwijk met 5 kamers, vandaar vaak sommige andere gasten; kamer is mooi en rustig en gedeelde keuken en tuin mooi voor gezelligheid. Beide fullfledged keuken (gedeeld) en magnetron. Lekker ontbijt met vaak freshbaked brood. De kamers zijn niet groot (vaak kleine badkamers in voormalige kasten) maar goed voor de prijs. Het bereiken centrum dient de auto, fiets of bussen; totaal 4 haltes/lijnen vandaar samen een heel goede frequentie van/naar het stadscentrum..";4;2018
  187;Hotel Café Restaurant de Posthoorn;Diepswal 21, 9101 LA Dokkum Nederland;9101 LA;Dokkum; 35;hotel geboekt via Vos Travel om te fietsen in Friesland;Prima hotel, mooie luxe kamer. Lekker eten en vriendelijk personeel. Hotel ligt in een prachtig deel van Friesland en een overtocht naar Ameland via Holwerd en of Schiermonnikoog via Lauwersoog is zeker een aanrader.;5;2015
12820;Strandhotel Vigilante & Strandhuys Makkum;Holle Poarte 10, 8754 HC Makkum Nederland;8754 HC;Makkum;NA;Mooi uitzicht, eten matig;Wij hebben hier meerdere keren gegeten. Het eten is matig, de prijs-kwaliteit verhouding is niet helemaal juist. Het eten is niet erg bijzonder, is vet en karig (meerdere keren buikpijn van gekregen).  Hebben hier ook een aantal keer geborreld, dat beviel prima. Wijn is lekker.;3;2016
10799;Hotel Anna Casparii;Noorderhaven 69, 8861 AL Harlingen Nederland;8861 AL;Harlingen; 16;Super hotel in Harlingen!;Aanrader! Zojuist terug gekomen van een weekendje Friesland.  Het hotel ligt centraal in Harlingen.  We hadden een gezinskamer geboekt voor ons  viertjes.  Schone kamer en perfect geregeld met 4 bedden in totaal.  Echt gastvrije mensen!  'S avonds kun je dineren in het.;5;2018
 9408;Oranje Hotel Leeuwarden;Stationsweg 4, 8911 AG Leeuwarden Nederland;8911 AG;Leeuwarden; 78;Leeuwarden;De ligging tegenover het station is erg goed. Dicht tegen het centrum aan. Dat je dicht bij het station bent merk je totaal niets van. Het hotel is ruim opgezet. Zo ook de kamers. Deze zijn schoon en functioneel  altijd fijn als er een waterkoker is;4;2015
11233;Van der Valk Hotel Hardegarijp;Rijksstraatweg 36, 9254 Hardegarijp Nederland;NA;NA; 31;Gezellig hotel;De kamer had een frisse uitstraling en was schoon. Mooie badkamer met ligbad. Goed ontbijt. Hotel ligt in een rustige plaats maar met de trein ben je in 10 min.in Leeuwarden waar van alles te doen is. Het station is lopen te bereiken in 5 minuten..;5;2017
 5013;Hotel Dolores;Yme Dunenweg 1, 9161 BZ Hollum, Ameland Nederland;9161 BZ;Hollum, Ameland; 21;Gastvrij en keurig;Werden zeer gastvrij ontvangen en de kamer zag er keurig uit. Het onbijtmandje is een echte aanrader. Bij het hotel is ook een restaurant waar je heerlijk tapas kunt eten en je hoeft er de deur niet voor uit. De ligging is ideaal om Ameland te verkennen.;5;2016
 3558;Post-Plaza Hotel & Grand Café;Tweebaksmarkt 27, 8911 KW Leeuwarden Nederland;8911 KW;Leeuwarden; 82;super hotel en bediening;kreeg een winteraanbieding voor 130 euro: warme chocomel bij ontvangst, luxe kamer, 3 gangen diner en ontbijt. heb genoten van de ontvangst bediening en de prachtige kamer. Gaan! ben hier al vaker geweest en kom zeker terug;5;2019
 2393;RCN Vakantiepark de Potten;De Potten 2, 8626 GG Offingawier Nederland;8626 GG;Offingawier;102;Prachtige omgeving;Aan het Sneekermeer heb je altijd prachtig uitzicht.Rustig vakantiepark, sommige huisjes wel gedateerd, maar voldoende. Mooie uitvalsbasis richting Sneek en meerdere Friese plaatsen.Horeca zou beter kunnen en in ieder geval langer open.;4;2019
 9463;Oranje Hotel Leeuwarden;Stationsweg 4, 8911 AG Leeuwarden Nederland;8911 AG;Leeuwarden; 78;Zeer aangenaam hotel met uitstekende ligging;Zeer goed gelegen hotel voor alle bezoeken in Leeuwarden ( alles op wandelafstand ) en voor een ontdekking van de provincie Friesland en de Waddeneilanden. Zeer vriendelijke service, prachtig ontbijtbuffet. We konden onze wagen parkeren in de ondergrondse garage van het hotel (.;5;2019
11703;Van der Valk Hotel Drachten;Lavendelheide 4, 9202 PD Drachten Nederland;9202 PD;Drachten; 90;Uitstekend;Parkeer en ingang slecht aangegeven vanaf de snelweg en helemaal als je vanuit Drachten centrum via het busstation komt . Je verdwaald in het kantorenpark en als je denkt het gevonden te hebben dan sta je bij de achteringang cq bowlingcentrun.;5;2017
11215;Van der Valk Hotel Hardegarijp;Rijksstraatweg 36, 9254 Hardegarijp Nederland;NA;NA; 31;Prima;"""Goed hotel voor uitstapjesnaar Leeuwarden en Sneek.Kamer was schoon en we waren wat eerder maar konden wel op de kamer.Het is maar 1etage maar een goederenlift zou misschien wel praktisch zijn......"""".........................""";5;2018
11158;Van der Valk Hotel Hardegarijp;Rijksstraatweg 36, 9254 Hardegarijp Nederland;NA;NA; 31;Super vriendelijk hotel;We hebben hier super genoten. Vriendelijk personeel, super behulpzaam. Schone kamers wat aan niks ontbrak. 1 klein min puntje, we vonden het restaurant qua inrichting niet gezellig.  Maar dat mocht de pret niet drukken want we hebben ti5p gegeten;5;2017
 3555;Post-Plaza Hotel & Grand Café;Tweebaksmarkt 27, 8911 KW Leeuwarden Nederland;8911 KW;Leeuwarden; 82;Fantastisch;Heerlijk geslapen in het oude Postkantoor.  Hele knusse kamers die warm aanvoelen. Na een nacht lekker te hebben geslapen, stapte ik onder de heerlijke regendouche. In het Grand Café nog genoten van een heerlijk ontbijt. Ronald heeft nog een lekker wentelteefje voor ons gemaakt!.;5;2019
 3237;Post-Plaza Hotel & Grand Café;Tweebaksmarkt 27, 8911 KW Leeuwarden Nederland;8911 KW;Leeuwarden; 82;Ontspannen weekendje weg;Even er tussenuit. Heerlijk hotel in bijzondere omgeving. Oud met nieuwe stijlen goed gemixt. Vriendelijk personeel. Kamer prima met goed bed. Mooie badkamer met fijne douche. Lekker ontbijt met ter plekke gebakken eitje.;4;2017
12049;Van der Valk Hotel Drachten;Lavendelheide 4, 9202 PD Drachten Nederland;9202 PD;Drachten; 90;Kamer gedateerd;Kamer was gedateerd en duidelijk zichtbaar. Badkamer wel gerenoveerd maar toilet zat te dicht op de douchecabine en daardoor niet praktisch. Op de gordijnen was schimmel zichtbaar vanwege de vochtige ramen.;3;2018
 2953;Landgoed Lauswolt;Van Harinxmaweg 10, 9244 CJ Beetsterzwaag Nederland;9244 CJ;Beetsterzwaag;NA;Een afscheidsfeest dat een herinnering voor het leven werd!;Afscheid nemen kun je maar 1 keer doen. De oprichter van het bekende online betaalbedrijf AfterPay wilde samen met zijn vrouw een feest dat recht deed aan de geweldige ontwikkeling van AfterPay van startup naar een Europees actief bedrijf. Na een grondige gezamenlijke.;5;2017
 6794;Haje Hotel Restaurant Joure;Klokmakkerij 1, 8501 ZS Joure Nederland;8501 ZS;Joure; 47;Hotelovernachting Haje hotel Joure;Het was super! Schone kamers, vriendelijk personeel en een super ontbijt. Verse sinaasappelsapU+0001F604 Een goede locatie om de rest van het mooie Friesland te kunnen ontdekken. Er zijn namelijk ook fietsen te huur.;5;2019
13405;Hotel Nobel;Gerrit Kosterweg 16, 9162 EN Ballum, Ameland Nederland;9162 EN;Ballum, Ameland; 19;perfect, gezellig hotel waar je je helemaal thuis voelt.;Leuke bediening, prachtige comfortabele kamers met eigen tuintje en koelkast, flatscreen enz., heel gezellig (eet)café met open haard waar je heerlijk kunt eten maar ook een spelletje kunt spelen of gewoon lekker een boek lezen. Maar ook gezellig aan de bar! Het aangrenzende.;5;2014
 8407;Hotel De Steenen Man;Caspar de Roblesdijk 26, 8751 TJ Zurich Nederland;8751 TJ;Zurich;NA;Voelt als thuis;We bezoeken alleen het restaurant voor de lunch, dus ik kan niets zeggen over het hotel. Het eten was supergoed, vriendelijk personeel, 'huis' sfeer en goed gelegen nabij de Afsluitdijk. De perfecte plek om even te lunchen of dineren!;5;2017
10969;Stayokay Terschelling;'t Land 2, 8881 GA West-Terschelling, Terschelling Nederland;8881 GA;West-Terschelling, Terschelling; 35;Wat een geweldige ervaring;Het ontvangst is oprecht hartelijk. Iedere werknemer was vriendelijk. De faciliteiten zijn goed en schoon. De ligging van de stayokay is spectaculair. Er staan stoelen  op een duintop. Mocht het koud zijn dan liggen er ook ruim voldoende paardedekena klaar.;5;2017
   19;Hotel & Restaurant De Stripe;Duerswald 23, 9241 GW Wijnjewoude Nederland;9241 GW;Wijnjewoude;NA;Grote Familie Hotel/Restaurant;Dit is een mooi hotel-restaurant ligt in een prachtige Friesland walking platteland. De kamers zijn schoon, ruim, goed ingericht - onlangs gerenoveerd. Het ontbijt was zeer goed. De eigenaars en het personeel zijn erg vriendelijk en zijn blij om elk verzoek - we laat aankwamen.;5;2015
  827;WestCord WTC Hotel Leeuwarden;Heliconweg 52, 8914 AT Leeuwarden Nederland;8914 AT;Leeuwarden;143;Waarom veder zoeken ?;Ik heb veel ( zakelijke ) hotels in de omgeving van Leeuwarden gehad. Deze is voor mij momenteel qua prijs-kwaliteit het beste. Gratis parkeren, ruime kamers, modern ingericht, Airco - verwarming zelf te bedienen. En vooral rustige, stille kamers. Daarbij geniet ik steeds van.;4;2012
 2484;Stadslogement King-Size;Prins Hendrikkade 20, 8601 CB Sneek Nederland;8601 CB;Sneek;  5;Lekker centraal;Lekker centraal gelegen hotel. Slechts 5 kamers. Het is even wennen dat er geen personeel is, en dat je de deuren opent door te bellen naar een mobiel nummer. Even wennen maar werkt prima.   Geen ontbijt genomen, om de hoek zit de winkelstraat met oa bakker Bart.   Kamer is ruim, en het bed slaapt Lekker. Het is niet duur. Volgend jaar weer. .;4;2019
 9502;Oranje Hotel Leeuwarden;Stationsweg 4, 8911 AG Leeuwarden Nederland;8911 AG;Leeuwarden; 78;Heerlijk koffie gedronken op het terras.;Na een lange treinreis vanuit Rotterdam stapte we uit station Leeuwarden en recht daar tegenover dit heerlijke terras waar we lekkere koffie hebben gedronken vooraf aan het museum bezoek waar Escher een tentoonstelling had.;5;2018
 1697;Stadsherberg Sneek;Lemmerweg 8, 8607 BZ Sneek Nederland;8607 BZ;Sneek;  9;Topper;Mooi pas gerestaureerd hotel,  met zeer vriendelijk personeel, er is een uitgebreid ontbijt. en mooie kamers. Het ligt aan naast de Waterpoort van Sneek en je staat binnen 5 minuten lopen in het centrum Een aanrader om naar toe te gaan.;5;2014
 6151;Fletcher Resort-Hotel Amelander Kaap;Oosterhiemweg 1, 9161 CZ Hollum, Ameland Nederland;9161 CZ;Hollum, Ameland; 40;Prima hotel;Bij aankomst bleken we een upgrade naar een appartement te hebben gekregen. Zag er allemaal keurig verzorgd uit, inclusief een groot balkon/terras. Het enige minpunt was dat de bedden te zacht waren. Het welkomstdiner was erg lekker, niets op aan te merken. Oook het ontbijt was.;4;2015
11835;Van der Valk Hotel Drachten;Lavendelheide 4, 9202 PD Drachten Nederland;9202 PD;Drachten; 90;Geweldig hotel, maar geen AC;We hielden van het hotel maar zou genoten van de nachten beter wanneer hun kamers wilt met AC uitgerust zijn geweest. Temperatuur in de kamers ( zelfs 's nachts) te hoog was om een welverdiende nachtrust. Het is als een **** hotel cataloged dus we zou verwachten dat sommige.;3;2014
11083;Van der Valk Hotel Hardegarijp;Rijksstraatweg 36, 9254 Hardegarijp Nederland;NA;NA; 31;Uitstekend;Hele fijne overnachting! mooie ruime kamer en héle mooie badkamer! We hadden gevraagd of we het vuurwerk daar goed zouden zien, en toen kregen we de kamer met het beste uitzicht! aangrenzend aan het dakterras.;5;2017
 9764;Van Heeckeren Hotel;Torenstraat 22, 9163 HE Nes, Ameland Nederland;9163 HE;Nes, Ameland; 34;Comfortabel hotel met uitzonderlijk goed ontbijt;Het gebouw is wat saai maar het comfort en de locatie maken veel goed. Het ontbijt is, op het Amstel Hotel na, het beste dat ik ooit kreeg. Onbeperkt verse jus (en dan echt vers, voor je neus zelf geperst), heerlijk brood, eitjes in diverse bereidingen, prachtige lokale.;5;2016
 1561;Boutique Hotel Catshuis;Nieuwestad 49, 8911 CJ Leeuwarden Nederland;8911 CJ;Leeuwarden;NA;gezellig terras;Hier geluncht tijdens een dagje winkelen. Heerlijke mocktail met gingerale, limoen en munt. De gebakken mosselen viele wat tegen. Door de sojasaus was het brood soppig geworden en ook nogal zout. Brood naast de mosselen serveren zou veel beter zijn. Verder zit je er leuk met.;3;2018
  397;Fletcher Hotel-Restaurant De Zon;Stationsstraat 1, 8431 ET Oosterwolde Nederland;8431 ET;Oosterwolde; 31;Oud en nieuw viering;We hebben een paar dagen hier gelogeerd en oud en nieuw gevierd.  Leuke omgeving en gezellig centrum. Het hotel is gezellig met vriendelijk personeel, tevens was het diner prima en het ontbijt buffet uitgebreid.  Tijdens de oud en nieuw viering waren er bubbels en oliebollen en.;4;2018
 8842;Oranje Hotel Leeuwarden;Stationsweg 4, 8911 AG Leeuwarden Nederland;8911 AG;Leeuwarden; 78;Zeer gastvrij hotel;Een warm welkom, een mooie kamer met een prima bed en een goed gevulde koelkast voor een schappelijke prijs.Ondanks gelegen tegenover station geen gleuidsoverlast..Kortom een prima hotel met een fijne sfeer.Na het uitchecken;5;2019
12103;Van der Valk Hotel Drachten;Lavendelheide 4, 9202 PD Drachten Nederland;9202 PD;Drachten; 90;Vriendelijk, fris;Ik ben geen 'je' voor U Wat meer bedienend personeel bij het ontbijt zou geen kwaad kunnen. Aanvulling kaas, eieren, ham, kip leek nergens op. Was druk maar dat kunt u toch tijdig inschatten aan de hand van kamerreserveringen.;5;2017
 5237;Stenden Hotel;Rengerslaan 8, 8917 DD Leeuwarden Nederland;8917 DD;Leeuwarden; 28;Een aangename verrassing;Dit hotel is een college waar studenten over de gastvrijheid handel leren en eigenlijk het hotel gerund. Ze waren dat hij wat extern werk gedaan, maar we vonden de receptie en het was niet zo olievlek als sommige, maar ze kregen er en de plaats was rustig en de kamers waren zeer.;4;2015
